LT,ITF09,ITF1330,ITF18,ITF21,RH09,RH1330,RH18,RH21,RHTR09,RHTR1330,RHTR18,RHTR21,T09,T1330,T18,T21,U09,U1330,U18,U21
2007-01-01,63.74356564995989,66.75519401090816,65.68237120877832,64.5524752842951,3.743565649959892,6.755194010908162,5.68237120877832,4.5524752842950935,8.985546171077221,16.214249556502363,13.639191517377173,10.927142912575809,-24.2,-14.8,-18.0,-21.7,85.0,75.0,80.0,85.0
2007-01-02,64.00781734289824,67.31961437184637,66.45133334032889,65.07299855396558,4.007817342898237,7.319614371846371,6.451333340328893,5.072998553965567,9.619820018447378,17.569007476444447,15.484903702745585,12.176536221010032,-24.2,-13.7,-16.3,-19.5,91.0,75.0,80.0,80.0
2007-01-03,63.901543038306855,67.42663481262753,65.82756199356282,65.22823684005627,3.9015430383068566,7.426634812627524,5.827561993562818,5.228236840056266,9.364733622215704,17.825884796573288,13.987687743244075,12.549149103383776,-24.4,-13.5,-16.8,-19.9,90.0,75.0,75.0,85.0
2007-01-04,65.5781792167175,67.99328337467551,67.43441804696837,66.58747849750422,5.578179216717495,7.993283374675517,7.4344180469683785,6.587478497504222,13.38910322112167,19.185990987608395,17.844566614409406,15.811688033556138,-19.8,-13.799999999999999,-15.2,-17.6,90.0,82.5,85.0,90.0
2007-01-05,64.52973086537075,67.45843696588454,67.82582825623675,67.69985445711217,4.529730865370754,7.458436965884534,7.825828256236746,7.699854457112164,10.872550300748323,17.902218362790734,18.7840544813444,18.481684095936018,-22.5,-15.55,-14.5,-15.5,90.0,87.5,85.0,90.0
2007-01-06,65.9438732546545,66.64953810522795,65.12625590540532,64.38528506451861,5.943873254654505,6.649538105227942,5.126255905405315,4.385285064518615,14.266865485663734,15.960647480965953,12.304367928814136,10.525842233056483,-17.4,-13.05,-16.6,-21.4,80.0,65.0,65.0,80.0
2007-01-07,63.9559497014466,66.78771516157789,64.93887054330784,64.87990506395508,3.9559497014466007,6.787715161577897,4.938870543307844,4.879905063955079,9.495323981613204,16.292308906385156,11.854593574535377,11.71306085232183,-23.5,-11.65,-17.1,-20.8,85.0,60.0,65.0,85.0
2007-01-08,66.79405227127108,66.41137978534721,64.97585084973053,63.92212707280334,6.794052271271081,6.411379785347216,4.975850849730529,3.9221270728033435,16.307519643170263,15.389004619744227,11.943356075811444,9.414140740896048,-15.6,-15.05,-17.0,-19.1,80.0,72.5,65.0,60.0
2007-01-09,63.13961251256379,64.91073222741196,64.26177840658374,63.95197252406837,3.139612512563785,4.910732227411957,4.26177840658374,3.951972524068367,7.535899147711195,11.787054185540935,10.22939363803288,9.48577770560144,-22.0,-16.1,-18.0,-19.0,60.0,60.0,60.0,60.0
2007-01-10,65.20937752552285,65.36385779485657,65.57245918593547,64.65174793209961,5.209377525522858,5.363857794856564,5.572459185935475,4.651747932099607,12.503881768083637,12.87467521006143,13.375373636683277,11.165423483502114,-15.3,-9.600000000000001,-9.4,-17.9,60.0,41.0,42.0,65.0
2007-01-11,64.45790494099089,65.04977919594955,64.56859784984172,63.454433363808675,4.457904940990878,5.049779195949556,4.5685978498417255,3.4544333638086724,10.7001491142478,12.120803629939308,10.965841327579437,8.291552329460284,-17.4,-13.9,-15.9,-21.8,60.0,52.5,55.0,65.0
2007-01-12,65.47968527039815,66.7962336182312,66.52552445865027,65.76926826042369,5.479685270398153,6.796233618231205,6.525524458650264,5.769268260423684,13.152691739401428,16.31275545193069,15.66298197931266,13.847767389339838,-16.7,-9.75,-12.2,-15.0,70.0,52.5,60.0,65.0
2007-01-13,65.56100599680323,66.91091054037331,65.64644087627435,64.75593614434271,5.56100599680323,6.910910540373314,5.646440876274351,4.755936144342719,13.347882958176013,16.58801034927061,13.55294923078603,11.415502707196906,-15.5,-10.8,-14.2,-19.5,65.0,57.5,60.0,75.0
2007-01-14,64.65936538105103,66.95940673349602,65.64349231931644,64.25161029391836,4.659365381051028,6.959406733496022,5.64349231931643,4.251610293918366,11.183707372622514,16.704414019773964,13.545871915423941,10.204987482412657,-21.4,-11.3,-15.3,-21.8,85.0,60.0,65.0,80.0
2007-01-15,63.23289429663693,66.57251380132297,65.47968527039815,64.38528506451861,3.2328942966369283,6.572513801322978,5.479685270398153,4.385285064518615,7.759800063598345,15.775768810802784,13.152691739401428,10.525842233056483,-2.3,-12.100000000000001,-16.7,-21.4,15.0,60.0,70.0,80.0
2007-01-16,64.27807915062793,65.5515733476147,64.73606694269378,63.87878713869402,4.278079150627935,5.551573347614704,4.736066942693784,3.878787138694021,10.268519728484529,13.32524210912346,11.36781137612572,9.310113453703972,-22.5,-17.45,-20.4,-23.6,85.0,75.0,80.0,84.0
2007-01-17,62.92059279581761,65.03453251138474,64.8832617310485,64.01858075299404,2.920592795817617,5.034532511384745,4.883261731048503,4.018580752994038,7.010193988187672,12.084207560597122,11.721117739783974,9.645655045108414,-27.3,-19.6,-20.0,-23.3,85.0,80.0,80.0,85.0
2007-01-18,62.96832079928976,66.06118223534824,66.84431507298859,65.59862774243018,2.9683207992897502,6.061182235348244,6.84431507298859,5.598627742430186,7.12475380066399,14.548438018608866,16.428163640832015,13.438185082935371,-27.1,-17.55,-15.5,-19.0,85.0,82.5,80.0,85.0
2007-01-19,63.95677314089977,69.7494117147757,67.05805109534293,65.43120997342294,3.956773140899776,9.749411714775716,7.058051095342939,5.431209973422931,9.497300453756997,23.401162767079278,16.941186538482537,13.036338225170356,-24.5,-9.5,-14.2,-19.4,92.0,74.0,75.0,85.0
