epi_year_week,date,day,iso_week,epi_week,epi_year,date.1,day_off,break_day,holiday,day_off_sat,day_off_sun
2007-09,27.02.07,2.0,9.0,9.0,2007.0,2007-02-27,0.0,0.0,0.0,0.0,0.0
2007-09,28.02.07,3.0,9.0,9.0,2007.0,2007-02-28,0.0,0.0,0.0,0.0,0.0
2007-09,01.03.07,4.0,9.0,9.0,2007.0,2007-03-01,0.0,0.0,0.0,0.0,0.0
2007-09,02.03.07,5.0,9.0,9.0,2007.0,2007-03-02,0.0,0.0,0.0,0.0,0.0
2007-09,03.03.07,6.0,9.0,9.0,2007.0,2007-03-03,1.0,0.0,0.0,1.0,0.0
2007-09,04.03.07,7.0,9.0,9.0,2007.0,2007-03-04,1.0,0.0,0.0,0.0,1.0
2007-10,05.03.07,1.0,10.0,10.0,2007.0,2007-03-05,0.0,0.0,0.0,0.0,0.0
2007-10,06.03.07,2.0,10.0,10.0,2007.0,2007-03-06,0.0,0.0,0.0,0.0,0.0
2007-10,07.03.07,3.0,10.0,10.0,2007.0,2007-03-07,0.0,0.0,0.1,0.0,0.0
2007-10,08.03.07,4.0,10.0,10.0,2007.0,2007-03-08,0.0,0.0,1.0,0.0,0.0
2007-10,09.03.07,5.0,10.0,10.0,2007.0,2007-03-09,0.0,0.0,0.0,0.0,0.0
2007-10,10.03.07,6.0,10.0,10.0,2007.0,2007-03-10,1.0,0.0,0.0,1.0,0.0
2007-10,11.03.07,7.0,10.0,10.0,2007.0,2007-03-11,1.0,0.0,0.0,0.0,1.0
2007-11,12.03.07,1.0,11.0,11.0,2007.0,2007-03-12,0.0,0.0,0.0,0.0,0.0
2007-11,13.03.07,2.0,11.0,11.0,2007.0,2007-03-13,0.0,0.0,0.0,0.0,0.0
2007-11,14.03.07,3.0,11.0,11.0,2007.0,2007-03-14,0.0,0.0,0.0,0.0,0.0
2007-11,15.03.07,4.0,11.0,11.0,2007.0,2007-03-15,0.0,0.0,0.0,0.0,0.0
2007-11,16.03.07,5.0,11.0,11.0,2007.0,2007-03-16,0.0,0.0,0.0,0.0,0.0
2007-11,17.03.07,6.0,11.0,11.0,2007.0,2007-03-17,1.0,0.0,0.0,1.0,0.0
2007-11,18.03.07,7.0,11.0,11.0,2007.0,2007-03-18,1.0,0.0,0.0,0.0,1.0
2007-12,19.03.07,1.0,12.0,12.0,2007.0,2007-03-19,0.0,0.0,0.0,0.0,0.0
2007-12,20.03.07,2.0,12.0,12.0,2007.0,2007-03-20,0.0,0.0,0.0,0.0,0.0
2007-12,21.03.07,3.0,12.0,12.0,2007.0,2007-03-21,0.0,0.0,0.0,0.0,0.0
2007-12,22.03.07,4.0,12.0,12.0,2007.0,2007-03-22,0.0,0.0,0.0,0.0,0.0
2007-12,23.03.07,5.0,12.0,12.0,2007.0,2007-03-23,0.0,0.0,0.0,0.0,0.0
2007-12,24.03.07,6.0,12.0,12.0,2007.0,2007-03-24,1.0,0.0,0.0,1.0,0.0
2007-12,25.03.07,7.0,12.0,12.0,2007.0,2007-03-25,1.0,1.0,0.0,0.0,1.0
2007-13,26.03.07,1.0,13.0,13.0,2007.0,2007-03-26,0.0,1.0,0.0,0.0,0.0
2007-13,27.03.07,2.0,13.0,13.0,2007.0,2007-03-27,0.0,1.0,0.0,0.0,0.0
2007-13,28.03.07,3.0,13.0,13.0,2007.0,2007-03-28,0.0,1.0,0.0,0.0,0.0
2007-13,29.03.07,4.0,13.0,13.0,2007.0,2007-03-29,0.0,1.0,0.0,0.0,0.0
2007-13,30.03.07,5.0,13.0,13.0,2007.0,2007-03-30,0.0,1.0,0.0,0.0,0.0
2007-13,31.03.07,6.0,13.0,13.0,2007.0,2007-03-31,1.0,1.0,0.0,1.0,0.0
2007-13,01.04.07,7.0,13.0,13.0,2007.0,2007-04-01,1.0,1.0,0.0,0.0,1.0
2007-14,02.04.07,1.0,14.0,14.0,2007.0,2007-04-02,0.0,0.0,0.0,0.0,0.0
2007-14,03.04.07,2.0,14.0,14.0,2007.0,2007-04-03,0.0,0.0,0.0,0.0,0.0
2007-14,04.04.07,3.0,14.0,14.0,2007.0,2007-04-04,0.0,0.0,0.0,0.0,0.0
2007-14,05.04.07,4.0,14.0,14.0,2007.0,2007-04-05,0.0,0.0,0.0,0.0,0.0
2007-14,06.04.07,5.0,14.0,14.0,2007.0,2007-04-06,0.0,0.0,0.0,0.0,0.0
2007-14,07.04.07,6.0,14.0,14.0,2007.0,2007-04-07,1.0,0.0,0.0,1.0,0.0
2007-14,08.04.07,7.0,14.0,14.0,2007.0,2007-04-08,1.0,0.0,0.0,0.0,1.0
2007-15,09.04.07,1.0,15.0,15.0,2007.0,2007-04-09,0.0,0.0,0.0,0.0,0.0
2007-15,10.04.07,2.0,15.0,15.0,2007.0,2007-04-10,0.0,0.0,0.0,0.0,0.0
2007-15,11.04.07,3.0,15.0,15.0,2007.0,2007-04-11,0.0,0.0,0.0,0.0,0.0
2007-15,12.04.07,4.0,15.0,15.0,2007.0,2007-04-12,0.0,0.0,0.0,0.0,0.0
2007-15,13.04.07,5.0,15.0,15.0,2007.0,2007-04-13,0.0,0.0,0.0,0.0,0.0
2007-15,14.04.07,6.0,15.0,15.0,2007.0,2007-04-14,1.0,0.0,0.0,1.0,0.0
2007-15,15.04.07,7.0,15.0,15.0,2007.0,2007-04-15,1.0,0.0,0.0,0.0,1.0
2007-16,16.04.07,1.0,16.0,16.0,2007.0,2007-04-16,0.0,0.0,0.0,0.0,0.0
2007-16,17.04.07,2.0,16.0,16.0,2007.0,2007-04-17,0.0,0.0,0.0,0.0,0.0
2007-16,18.04.07,3.0,16.0,16.0,2007.0,2007-04-18,0.0,0.0,0.0,0.0,0.0
2007-16,19.04.07,4.0,16.0,16.0,2007.0,2007-04-19,0.0,0.0,0.0,0.0,0.0
2007-16,20.04.07,5.0,16.0,16.0,2007.0,2007-04-20,0.0,0.0,0.0,0.0,0.0
2007-16,21.04.07,6.0,16.0,16.0,2007.0,2007-04-21,1.0,0.0,0.0,1.0,0.0
2007-16,22.04.07,7.0,16.0,16.0,2007.0,2007-04-22,1.0,0.0,0.0,0.0,1.0
2007-17,23.04.07,1.0,17.0,17.0,2007.0,2007-04-23,0.0,0.0,0.0,0.0,0.0
2007-17,24.04.07,2.0,17.0,17.0,2007.0,2007-04-24,0.0,0.0,0.0,0.0,0.0
2007-17,25.04.07,3.0,17.0,17.0,2007.0,2007-04-25,0.0,0.0,0.0,0.0,0.0
2007-17,26.04.07,4.0,17.0,17.0,2007.0,2007-04-26,0.0,0.0,0.0,0.0,0.0
2007-17,27.04.07,5.0,17.0,17.0,2007.0,2007-04-27,0.0,0.0,0.0,0.0,0.0
2007-17,28.04.07,6.0,17.0,17.0,2007.0,2007-04-28,0.0,0.0,0.1,0.0,0.0
2007-17,29.04.07,7.0,17.0,17.0,2007.0,2007-04-29,0.0,0.0,1.0,0.0,0.0
2007-18,30.04.07,1.0,18.0,18.0,2007.0,2007-04-30,0.0,0.0,1.0,0.0,0.0
2007-18,01.05.07,2.0,18.0,18.0,2007.0,2007-05-01,0.0,0.0,1.0,0.0,0.0
2007-18,02.05.07,3.0,18.0,18.0,2007.0,2007-05-02,0.0,0.0,0.0,0.0,0.0
2007-18,03.05.07,4.0,18.0,18.0,2007.0,2007-05-03,0.0,0.0,0.0,0.0,0.0
2007-18,04.05.07,5.0,18.0,18.0,2007.0,2007-05-04,0.0,0.0,0.0,0.0,0.0
2007-18,05.05.07,6.0,18.0,18.0,2007.0,2007-05-05,1.0,0.0,0.0,1.0,0.0
2007-18,06.05.07,7.0,18.0,18.0,2007.0,2007-05-06,1.0,0.0,0.0,0.0,1.0
2007-19,07.05.07,1.0,19.0,19.0,2007.0,2007-05-07,0.0,0.0,0.0,0.0,0.0
2007-19,08.05.07,2.0,19.0,19.0,2007.0,2007-05-08,0.0,0.0,0.1,0.0,0.0
2007-19,09.05.07,3.0,19.0,19.0,2007.0,2007-05-09,0.0,0.0,1.0,0.0,0.0
2007-19,10.05.07,4.0,19.0,19.0,2007.0,2007-05-10,0.0,0.0,0.0,0.0,0.0
2007-19,11.05.07,5.0,19.0,19.0,2007.0,2007-05-11,0.0,0.0,0.0,0.0,0.0
2007-19,12.05.07,6.0,19.0,19.0,2007.0,2007-05-12,1.0,0.0,0.0,1.0,0.0
2007-19,13.05.07,7.0,19.0,19.0,2007.0,2007-05-13,1.0,0.0,0.0,0.0,1.0
2007-20,14.05.07,1.0,20.0,20.0,2007.0,2007-05-14,0.0,0.0,0.0,0.0,0.0
2007-20,15.05.07,2.0,20.0,20.0,2007.0,2007-05-15,0.0,0.0,0.0,0.0,0.0
2007-20,16.05.07,3.0,20.0,20.0,2007.0,2007-05-16,0.0,0.0,0.0,0.0,0.0
2007-20,17.05.07,4.0,20.0,20.0,2007.0,2007-05-17,0.0,0.0,0.0,0.0,0.0
2007-20,18.05.07,5.0,20.0,20.0,2007.0,2007-05-18,0.0,0.0,0.0,0.0,0.0
2007-20,19.05.07,6.0,20.0,20.0,2007.0,2007-05-19,1.0,0.0,0.0,1.0,0.0
2007-20,20.05.07,7.0,20.0,20.0,2007.0,2007-05-20,1.0,0.0,0.0,0.0,1.0
2007-21,21.05.07,1.0,21.0,21.0,2007.0,2007-05-21,0.0,0.0,0.0,0.0,0.0
2007-21,22.05.07,2.0,21.0,21.0,2007.0,2007-05-22,0.0,0.0,0.0,0.0,0.0
2007-21,23.05.07,3.0,21.0,21.0,2007.0,2007-05-23,0.0,0.0,0.0,0.0,0.0
2007-21,24.05.07,4.0,21.0,21.0,2007.0,2007-05-24,0.0,0.0,0.0,0.0,0.0
2007-21,25.05.07,5.0,21.0,21.0,2007.0,2007-05-25,0.0,0.0,0.0,0.0,0.0
2007-21,26.05.07,6.0,21.0,21.0,2007.0,2007-05-26,1.0,0.0,0.0,1.0,0.0
2007-21,27.05.07,7.0,21.0,21.0,2007.0,2007-05-27,1.0,0.0,0.0,0.0,1.0
2007-22,28.05.07,1.0,22.0,22.0,2007.0,2007-05-28,0.0,0.0,0.0,0.0,0.0
2007-22,29.05.07,2.0,22.0,22.0,2007.0,2007-05-29,0.0,0.0,0.0,0.0,0.0
2007-22,30.05.07,3.0,22.0,22.0,2007.0,2007-05-30,0.0,0.0,0.0,0.0,0.0
2007-22,31.05.07,4.0,22.0,22.0,2007.0,2007-05-31,0.0,1.0,0.0,0.0,0.0
2007-22,01.06.07,5.0,22.0,22.0,2007.0,2007-06-01,0.0,1.0,0.0,0.0,0.0
2007-22,02.06.07,6.0,22.0,22.0,2007.0,2007-06-02,1.0,1.0,0.0,1.0,0.0
2007-22,03.06.07,7.0,22.0,22.0,2007.0,2007-06-03,1.0,1.0,0.0,0.0,1.0
2007-23,04.06.07,1.0,23.0,23.0,2007.0,2007-06-04,0.0,1.0,0.0,0.0,0.0
2007-23,05.06.07,2.0,23.0,23.0,2007.0,2007-06-05,0.0,1.0,0.0,0.0,0.0
2007-23,06.06.07,3.0,23.0,23.0,2007.0,2007-06-06,0.0,1.0,0.0,0.0,0.0
2007-23,07.06.07,4.0,23.0,23.0,2007.0,2007-06-07,0.0,1.0,0.0,0.0,0.0
2007-23,08.06.07,5.0,23.0,23.0,2007.0,2007-06-08,0.0,1.0,0.0,0.0,0.0
2007-23,09.06.07,6.0,23.0,23.0,2007.0,2007-06-09,0.0,1.0,0.1,0.0,0.0
2007-23,10.06.07,7.0,23.0,23.0,2007.0,2007-06-10,0.0,1.0,1.0,0.0,0.0
2007-24,11.06.07,1.0,24.0,24.0,2007.0,2007-06-11,0.0,1.0,1.0,0.0,0.0
2007-24,12.06.07,2.0,24.0,24.0,2007.0,2007-06-12,0.0,1.0,1.0,0.0,0.0
2007-24,13.06.07,3.0,24.0,24.0,2007.0,2007-06-13,0.0,1.0,0.0,0.0,0.0
2007-24,14.06.07,4.0,24.0,24.0,2007.0,2007-06-14,0.0,1.0,0.0,0.0,0.0
2007-24,15.06.07,5.0,24.0,24.0,2007.0,2007-06-15,0.0,1.0,0.0,0.0,0.0
2007-24,16.06.07,6.0,24.0,24.0,2007.0,2007-06-16,1.0,1.0,0.0,1.0,0.0
2007-24,17.06.07,7.0,24.0,24.0,2007.0,2007-06-17,1.0,1.0,0.0,0.0,1.0
2007-25,18.06.07,1.0,25.0,25.0,2007.0,2007-06-18,0.0,1.0,0.0,0.0,0.0
2007-25,19.06.07,2.0,25.0,25.0,2007.0,2007-06-19,0.0,1.0,0.0,0.0,0.0
2007-25,20.06.07,3.0,25.0,25.0,2007.0,2007-06-20,0.0,1.0,0.0,0.0,0.0
2007-25,21.06.07,4.0,25.0,25.0,2007.0,2007-06-21,0.0,1.0,0.0,0.0,0.0
2007-25,22.06.07,5.0,25.0,25.0,2007.0,2007-06-22,0.0,1.0,0.0,0.0,0.0
2007-25,23.06.07,6.0,25.0,25.0,2007.0,2007-06-23,1.0,1.0,0.0,1.0,0.0
2007-25,24.06.07,7.0,25.0,25.0,2007.0,2007-06-24,1.0,1.0,0.0,0.0,1.0
2007-26,25.06.07,1.0,26.0,26.0,2007.0,2007-06-25,0.0,1.0,0.0,0.0,0.0
2007-26,26.06.07,2.0,26.0,26.0,2007.0,2007-06-26,0.0,1.0,0.0,0.0,0.0
2007-26,27.06.07,3.0,26.0,26.0,2007.0,2007-06-27,0.0,1.0,0.0,0.0,0.0
2007-26,28.06.07,4.0,26.0,26.0,2007.0,2007-06-28,0.0,1.0,0.0,0.0,0.0
2007-26,29.06.07,5.0,26.0,26.0,2007.0,2007-06-29,0.0,1.0,0.0,0.0,0.0
2007-26,30.06.07,6.0,26.0,26.0,2007.0,2007-06-30,1.0,1.0,0.0,1.0,0.0
2007-26,01.07.07,7.0,26.0,26.0,2007.0,2007-07-01,1.0,1.0,0.0,0.0,1.0
2007-27,02.07.07,1.0,27.0,27.0,2007.0,2007-07-02,0.0,1.0,0.0,0.0,0.0
2007-27,03.07.07,2.0,27.0,27.0,2007.0,2007-07-03,0.0,1.0,0.0,0.0,0.0
2007-27,04.07.07,3.0,27.0,27.0,2007.0,2007-07-04,0.0,1.0,0.0,0.0,0.0
2007-27,05.07.07,4.0,27.0,27.0,2007.0,2007-07-05,0.0,1.0,0.0,0.0,0.0
2007-27,06.07.07,5.0,27.0,27.0,2007.0,2007-07-06,0.0,1.0,0.0,0.0,0.0
2007-27,07.07.07,6.0,27.0,27.0,2007.0,2007-07-07,1.0,1.0,0.0,1.0,0.0
2007-27,08.07.07,7.0,27.0,27.0,2007.0,2007-07-08,1.0,1.0,0.0,0.0,1.0
2007-28,09.07.07,1.0,28.0,28.0,2007.0,2007-07-09,0.0,1.0,0.0,0.0,0.0
2007-28,10.07.07,2.0,28.0,28.0,2007.0,2007-07-10,0.0,1.0,0.0,0.0,0.0
2007-28,11.07.07,3.0,28.0,28.0,2007.0,2007-07-11,0.0,1.0,0.0,0.0,0.0
2007-28,12.07.07,4.0,28.0,28.0,2007.0,2007-07-12,0.0,1.0,0.0,0.0,0.0
2007-28,13.07.07,5.0,28.0,28.0,2007.0,2007-07-13,0.0,1.0,0.0,0.0,0.0
2007-28,14.07.07,6.0,28.0,28.0,2007.0,2007-07-14,1.0,1.0,0.0,1.0,0.0
2007-28,15.07.07,7.0,28.0,28.0,2007.0,2007-07-15,1.0,1.0,0.0,0.0,1.0
2007-29,16.07.07,1.0,29.0,29.0,2007.0,2007-07-16,0.0,1.0,0.0,0.0,0.0
2007-29,17.07.07,2.0,29.0,29.0,2007.0,2007-07-17,0.0,1.0,0.0,0.0,0.0
2007-29,18.07.07,3.0,29.0,29.0,2007.0,2007-07-18,0.0,1.0,0.0,0.0,0.0
2007-29,19.07.07,4.0,29.0,29.0,2007.0,2007-07-19,0.0,1.0,0.0,0.0,0.0
2007-29,20.07.07,5.0,29.0,29.0,2007.0,2007-07-20,0.0,1.0,0.0,0.0,0.0
2007-29,21.07.07,6.0,29.0,29.0,2007.0,2007-07-21,1.0,1.0,0.0,1.0,0.0
2007-29,22.07.07,7.0,29.0,29.0,2007.0,2007-07-22,1.0,1.0,0.0,0.0,1.0
2007-30,23.07.07,1.0,30.0,30.0,2007.0,2007-07-23,0.0,1.0,0.0,0.0,0.0
2007-30,24.07.07,2.0,30.0,30.0,2007.0,2007-07-24,0.0,1.0,0.0,0.0,0.0
2007-30,25.07.07,3.0,30.0,30.0,2007.0,2007-07-25,0.0,1.0,0.0,0.0,0.0
2007-30,26.07.07,4.0,30.0,30.0,2007.0,2007-07-26,0.0,1.0,0.0,0.0,0.0
2007-30,27.07.07,5.0,30.0,30.0,2007.0,2007-07-27,0.0,1.0,0.0,0.0,0.0
