date,year,isoWeek,month,day,epi_week,epi_year,Count
2011-04-29,2011,17,4,5,17,2011,332
2011-04-30,2011,17,4,6,17,2011,125
2011-05-01,2011,17,5,7,17,2011,54
2011-05-02,2011,18,5,1,18,2011,78
2011-05-03,2011,18,5,2,18,2011,463
2011-05-04,2011,18,5,3,18,2011,404
2011-05-05,2011,18,5,4,18,2011,279
2011-05-06,2011,18,5,5,18,2011,267
2011-05-07,2011,18,5,6,18,2011,104
2011-05-08,2011,18,5,7,18,2011,44
2011-05-09,2011,19,5,1,19,2011,72
2011-05-10,2011,19,5,2,19,2011,363
2011-05-11,2011,19,5,3,19,2011,392
2011-05-12,2011,19,5,4,19,2011,291
2011-05-13,2011,19,5,5,19,2011,247
2011-05-14,2011,19,5,6,19,2011,93
2011-05-15,2011,19,5,7,19,2011,53
2011-05-16,2011,20,5,1,20,2011,302
2011-05-17,2011,20,5,2,20,2011,315
2011-05-18,2011,20,5,3,20,2011,283
2011-05-19,2011,20,5,4,20,2011,203
2011-05-20,2011,20,5,5,20,2011,214
2011-05-21,2011,20,5,6,20,2011,99
2011-05-22,2011,20,5,7,20,2011,67
2011-05-23,2011,21,5,1,21,2011,327
2011-05-24,2011,21,5,2,21,2011,236
2011-05-25,2011,21,5,3,21,2011,259
2011-05-26,2011,21,5,4,21,2011,211
2011-05-27,2011,21,5,5,21,2011,212
2011-05-28,2011,21,5,6,21,2011,92
2011-05-29,2011,21,5,7,21,2011,39
2011-05-30,2011,22,5,1,22,2011,315
2011-05-31,2011,22,5,2,22,2011,224
2011-06-01,2011,22,6,3,22,2011,236
2011-06-02,2011,22,6,4,22,2011,182
2011-06-03,2011,22,6,5,22,2011,175
2011-06-04,2011,22,6,6,22,2011,76
2011-06-05,2011,22,6,7,22,2011,40
2011-06-06,2011,23,6,1,23,2011,264
2011-06-07,2011,23,6,2,23,2011,213
2011-06-08,2011,23,6,3,23,2011,202
2011-06-09,2011,23,6,4,23,2011,183
2011-06-10,2011,23,6,5,23,2011,141
2011-06-11,2011,23,6,6,23,2011,85
2011-06-12,2011,23,6,7,23,2011,52
2011-06-13,2011,24,6,1,24,2011,NA
2011-06-14,2011,24,6,2,24,2011,NA
2011-06-15,2011,24,6,3,24,2011,NA
2011-06-16,2011,24,6,4,24,2011,NA
2011-06-17,2011,24,6,5,24,2011,NA
2011-06-18,2011,24,6,6,24,2011,NA
2011-06-19,2011,24,6,7,24,2011,NA
2011-06-20,2011,25,6,1,25,2011,NA
2011-06-21,2011,25,6,2,25,2011,NA
2011-06-22,2011,25,6,3,25,2011,NA
2011-06-23,2011,25,6,4,25,2011,NA
2011-06-24,2011,25,6,5,25,2011,NA
2011-06-25,2011,25,6,6,25,2011,NA
2011-06-26,2011,25,6,7,25,2011,NA
2011-06-27,2011,26,6,1,26,2011,NA
2011-06-28,2011,26,6,2,26,2011,NA
2011-06-29,2011,26,6,3,26,2011,NA
2011-06-30,2011,26,6,4,26,2011,NA
2011-07-01,2011,26,7,5,26,2011,NA
2011-07-02,2011,26,7,6,26,2011,NA
2011-07-03,2011,26,7,7,26,2011,NA
2011-07-04,2011,27,7,1,27,2011,NA
2011-07-05,2011,27,7,2,27,2011,NA
2011-07-06,2011,27,7,3,27,2011,NA
2011-07-07,2011,27,7,4,27,2011,NA
2011-07-08,2011,27,7,5,27,2011,NA
2011-07-09,2011,27,7,6,27,2011,NA
2011-07-10,2011,27,7,7,27,2011,NA
2011-07-11,2011,28,7,1,28,2011,NA
2011-07-12,2011,28,7,2,28,2011,NA
2011-07-13,2011,28,7,3,28,2011,NA
2011-07-14,2011,28,7,4,28,2011,NA
2011-07-15,2011,28,7,5,28,2011,NA
2011-07-16,2011,28,7,6,28,2011,NA
2011-07-17,2011,28,7,7,28,2011,NA
2011-07-18,2011,29,7,1,29,2011,NA
2011-07-19,2011,29,7,2,29,2011,NA
2011-07-20,2011,29,7,3,29,2011,NA
2011-07-21,2011,29,7,4,29,2011,NA
