epi_year_week,date,day,iso_week,epi_week,epi_year,date.1,day_off,break_day,holiday,day_off_sat,day_off_sun
2001-10,08.03.01,4,10,10,2001,2001-03-08,0.0,0.0,1.0,0.0,0.0
2001-10,09.03.01,5,10,10,2001,2001-03-09,0.0,0.0,0.0,0.0,0.0
2001-10,10.03.01,6,10,10,2001,2001-03-10,1.0,0.0,0.0,1.0,0.0
2001-10,11.03.01,7,10,10,2001,2001-03-11,1.0,0.0,0.0,0.0,1.0
2001-11,12.03.01,1,11,11,2001,2001-03-12,0.0,0.0,0.0,0.0,0.0
2001-11,13.03.01,2,11,11,2001,2001-03-13,0.0,0.0,0.0,0.0,0.0
2001-11,14.03.01,3,11,11,2001,2001-03-14,0.0,0.0,0.0,0.0,0.0
2001-11,15.03.01,4,11,11,2001,2001-03-15,0.0,0.0,0.0,0.0,0.0
2001-11,16.03.01,5,11,11,2001,2001-03-16,0.0,0.0,0.0,0.0,0.0
2001-11,17.03.01,6,11,11,2001,2001-03-17,1.0,0.0,0.0,1.0,0.0
2001-11,18.03.01,7,11,11,2001,2001-03-18,1.0,0.0,0.0,0.0,1.0
2001-12,19.03.01,1,12,12,2001,2001-03-19,0.0,0.0,0.0,0.0,0.0
2001-12,20.03.01,2,12,12,2001,2001-03-20,0.0,0.0,0.0,0.0,0.0
2001-12,21.03.01,3,12,12,2001,2001-03-21,0.0,0.0,0.0,0.0,0.0
2001-12,22.03.01,4,12,12,2001,2001-03-22,0.0,0.0,0.0,0.0,0.0
2001-12,23.03.01,5,12,12,2001,2001-03-23,0.0,0.0,0.0,0.0,0.0
2001-12,24.03.01,6,12,12,2001,2001-03-24,1.0,0.0,0.0,1.0,0.0
2001-12,25.03.01,7,12,12,2001,2001-03-25,1.0,1.0,0.0,0.0,1.0
2001-13,26.03.01,1,13,13,2001,2001-03-26,0.0,1.0,0.0,0.0,0.0
2001-13,27.03.01,2,13,13,2001,2001-03-27,0.0,1.0,0.0,0.0,0.0
2001-13,28.03.01,3,13,13,2001,2001-03-28,0.0,1.0,0.0,0.0,0.0
2001-13,29.03.01,4,13,13,2001,2001-03-29,0.0,1.0,0.0,0.0,0.0
2001-13,30.03.01,5,13,13,2001,2001-03-30,0.0,1.0,0.0,0.0,0.0
